id,prix,surface,pieces,ville,prix_log,surface_log,type_bien_APPARTEMENT,type_bien_AUTRE,type_bien_MAISON,type_bien_PARKING,type_bien_TERRAIN,cluster
1018,299020,90.0,5.0,289963.5434095557,12.608269084020236,4.51085950651685,False,False,True,False,False,7
1019,52500,23.0,1.0,264726.7135478552,10.868587496017359,3.1780538303479458,True,False,False,False,False,5
1020,39550,550.0,4.686456400742115,269471.4338166946,10.585346257326217,6.311734809152915,False,False,False,False,True,6
1044,39550,661.0,4.686456400742115,269471.4338166946,10.585346257326217,6.495265555937008,False,False,False,False,True,6
1045,66780,51.0,2.0,278904.4957905081,11.109173887928804,3.9512437185814275,True,False,False,False,False,5
1046,272896,105.0,5.0,288719.5434095557,12.516849713598264,4.663439094112067,False,False,True,False,False,7
1047,419900,178.0,7.0,295719.73388574616,12.947774248188859,5.187385805840755,False,False,True,False,False,2
1048,199998,170.0,5.0,285248.21007622237,12.206067645517674,5.14166355650266,False,False,True,False,False,7
1049,49900,1400.0,4.686456400742115,278100.6862666986,10.817796321618971,7.244941546337007,False,False,False,False,True,6
1050,329000,79.0,3.0,303369.2914363941,12.703816069256568,4.382026634673881,False,False,True,False,False,4
1051,349500,192.0,8.0,292367.3529333652,12.764261701882237,5.262690188904886,False,False,True,False,False,2
1053,135000,53.0,2.0,275924.6348827817,11.813037464800539,3.9889840465642745,True,False,False,False,False,5
1054,133500,53.0,2.0,289804.8072965748,11.80186424743109,3.9889840465642745,True,False,False,False,False,5
1055,740000,150.0,5.0,310962.5910286033,13.51440681653079,5.017279836814924,False,False,True,False,False,7
1056,265000,113.0,5.0,281327.92780003045,12.487488878546145,4.736198448394496,False,False,True,False,False,7
1057,178000,95.0,4.0,284200.6862666986,12.08954444723597,4.564348191467836,False,False,True,False,False,4
1058,799000,246.0,5.0,302464.2914363941,13.591117476312084,5.5093883366279774,False,False,True,False,False,7
1059,596000,128.0,6.0,313748.45267829,13.297997623898429,4.859812404361672,False,False,True,False,False,7
1060,68000,110.0,4.0,278962.5910286033,11.127277689932466,4.709530201312334,False,False,True,False,False,4
1081,254999,140.0,4.686456400742115,287867.30531431764,12.449018824140563,4.948759890378168,False,True,False,False,False,7
1082,169990,180.0,7.0,283819.25769527,12.043500773454495,5.198497031265826,True,False,False,False,False,2
1083,126000,21.0,2.0,288096.2787652465,11.744045122410057,3.091042453358316,True,False,False,False,False,5
1085,200000,41.0,2.0,289237.01870912133,12.206077645517674,3.7376696182833684,True,False,False,False,False,5
1086,437000,165.0,5.0,305681.28506156424,12.987690762404629,5.111987788356544,False,False,True,False,False,7
1087,940000,100.0,4.0,304325.4640500093,13.753636218075409,4.61512051684126,True,False,False,False,False,0
1088,750000,210.0,6.0,319093.3718428811,13.527829818844937,5.351858133476067,False,False,True,False,False,7
1089,445000,89.0,4.0,319093.3718428811,13.005831808336863,4.499809670330265,False,False,True,False,False,4
1090,160000,65.0,4.0,286430.36029001675,11.982935344196433,4.189654742026425,True,False,False,False,False,0
1091,599000,82.0,3.0,337050.6004833612,13.303018546545275,4.418840607796598,True,False,False,False,False,0
1092,189000,171.0,3.0,284724.4957905081,12.149507585033072,5.147494476813453,False,False,True,False,False,4
1093,355000,124.0,6.0,292629.25769527,12.779875885354993,4.8283137373023015,False,False,True,False,False,7
1094,249000,97.0,4.0,273739.015830795,12.425212191503038,4.584967478670572,False,False,True,False,False,4
1095,229000,124.0,4.0,273739.015830795,12.34148164933907,4.8283137373023015,False,False,True,False,False,4
1128,159000,88.0,4.0,304325.4640500093,11.976665770490767,4.48863636973214,True,False,False,False,False,0
1129,65000,57.0,3.0,278819.73388574616,11.082157933374816,4.060443010546419,False,False,True,False,False,4
1130,90000,54.0,2.0,280010.21007622237,11.407576060361786,4.007333185232471,True,False,False,False,False,5
1131,105000,19.09,4.686456400742115,304325.4640500093,11.561725152903833,3.000222178826843,True,False,False,False,False,0
1132,282900,91.0,5.0,289195.92436193663,12.552852292101369,4.5217885770490405,False,False,True,False,False,7
1133,695000,180.0,7.0,310758.9338166946,13.451668563394815,5.198497031265826,False,False,True,False,False,2
1134,125000,34.0,2.0,281676.87674288906,11.736077016252437,3.5553480614894135,True,False,False,False,False,5
1135,210000,124.0,6.0,285724.4957905081,12.25486757159303,4.8283137373023015,False,False,True,False,False,7
1136,409000,222.0,5.0,295200.6862666986,12.921472880009725,5.407171771460119,False,False,True,False,False,7
1137,169000,80.0,7.0,279782.4732545759,12.037659911047468,4.394449154672439,False,False,True,False,False,2
1138,281000,142.0,6.0,275924.6348827817,12.546113507028412,4.962844630259907,False,False,True,False,False,7
1140,169000,142.0,6.0,275323.382345485,12.037659911047468,4.962844630259907,False,False,True,False,False,7
1141,160802,71.0,4.0,283381.73388574616,11.987935292269386,4.276666119016055,False,False,True,False,False,4
1142,1240000,210.0,7.0,334772.11483812716,14.030622744032508,5.351858133476067,False,False,True,False,False,2
1143,115000,53.0,3.0,281200.6862666986,11.652696102959753,3.9889840465642745,False,False,True,False,False,4
1144,119000,42.0,2.0,304325.4640500093,11.686887175419702,3.7612001156935624,True,False,False,False,False,5
1145,45000,850.0,4.686456400742115,277867.3529333652,10.714439990727769,6.7464121285733745,False,False,False,False,True,6
1146,210000,88.0,6.0,275924.6348827817,12.25486757159303,4.48863636973214,False,False,True,False,False,7
1147,126600,42.0,2.0,289305.20052730315,11.748795687555171,3.7612001156935624,True,False,False,False,False,5
1148,62160,64.0,4.0,278684.4957905081,11.037483072428214,4.174387269895637,False,False,True,False,False,4
1149,269000,136.0,5.0,282217.2671500279,12.502470376049185,4.919980925828125,False,False,True,False,False,7
1151,399000,144.0,5.0,294724.4957905081,12.896719202134523,4.976733742420574,False,False,True,False,False,7
1152,219000,210.0,6.0,286153.06721907953,12.296831574998258,5.351858133476067,False,False,True,False,False,7
1153,209000,87.0,5.0,309007.65755716676,12.250094315624496,4.477336814478207,True,False,False,False,False,7
1154,159000,57.0,3.0,304325.4640500093,11.976665770490767,4.060443010546419,True,False,False,False,False,0
1155,274900,150.0,7.0,288814.97198098426,12.524166311833152,5.017279836814924,False,False,True,False,False,2
1156,590000,310.0,5.0,305918.83689093956,13.28787951079572,5.739792912179234,False,False,True,False,False,7
1157,350000,142.0,4.0,305918.83689093956,12.765691290604371,4.962844630259907,False,False,True,False,False,4
1158,213000,83.0,4.0,285867.3529333652,12.269052139516223,4.430816798843313,False,False,True,False,False,4
1159,161000,80.0,4.0,283391.16245717474,11.989165855127435,4.394449154672439,False,False,True,False,False,4
1160,297605,90.0,5.0,289896.16245717474,12.603525743028161,4.51085950651685,False,False,True,False,False,7
1161,199000,85.0,3.0,285200.6862666986,12.201065128819632,4.454347296253507,False,False,True,False,False,4
1162,489000,63.0,3.0,299010.21007622237,13.100119813444692,4.1588830833596715,True,False,False,False,False,0
1163,220000,83.0,4.0,304325.4640500093,12.301387370778713,4.430816798843313,True,False,False,False,False,0
1164,1149000,134.0,5.0,341408.5764640268,13.954403427152533,4.90527477843843,False,False,True,False,False,7
