id,prix,surface,pieces,ville,prix_log,type_bien_APPARTEMENT,type_bien_AUTRE,type_bien_MAISON,type_bien_PARKING,type_bien_TERRAIN
220,65000,76.0,4.0,278819.73388574616,11.082157933374816,False,False,True,False,False
222,302800,135.0,6.0,271596.4338166946,12.620831103049886,False,False,True,False,False
223,234000,59.0,3.0,312734.9879918504,12.36308066783498,True,False,False,False,False
224,295000,150.0,4.686456400742115,280959.7459818486,12.59473402514672,False,False,True,False,False
225,625000,83.0,4.0,305486.40055241284,13.345508528717259,True,False,False,False,False
226,335000,145.0,4.686456400742115,275135.4092000291,12.721888795877375,False,False,True,False,False
227,180000,80.0,4.686456400742115,284295.92436193663,12.100717685412471,True,False,False,False,False
228,124990,116.0,6.0,281676.40055241284,11.735997013692314,False,False,True,False,False
229,428400,275.0,12.0,296255.20052730315,12.967814951820046,False,False,True,False,False
231,572000,274.0,12.0,302962.5910286033,13.256896018612155,False,False,True,False,False
232,199500,137.0,4.0,285224.4957905081,12.20357452783082,False,False,True,False,False
233,299850,190.0,5.0,290003.06721907953,12.611040963591929,False,False,True,False,False
234,258000,133.0,5.0,288010.21007622237,12.460718739865236,False,False,True,False,False
235,165000,83.0,3.0,300235.16967694886,12.013706813470414,True,False,False,False,False
237,499900,168.0,4.0,315143.3718428811,13.12216535779974,True,False,False,False,False
240,150000,40.0,2.0,277146.1096182123,11.918397239722838,True,False,False,False,False
242,490000,290.0,4.686456400742115,299057.8291238414,13.102162710901053,False,True,False,False,False
243,353600,105.0,4.686456400742115,268191.6584387313,12.775924437795926,True,False,False,False,False
244,375000,118.3,4.0,304325.5147000239,12.834683971615659,True,False,False,False,False
245,1150000,193.0,4.686456400742115,373964.5764640268,13.955273369904273,False,False,True,False,False
246,330000,90.0,3.0,304325.4640500093,12.706850963741102,True,False,False,False,False
247,275000,138.0,6.0,288819.73388574616,12.524530013005734,False,False,True,False,False
250,226000,23.0,4.686456400742115,411694.6446055649,12.328294703023394,True,False,False,False,False
251,256800,238.0,10.0,287953.06721907953,12.456056744871358,False,False,True,False,False
252,299000,67.0,3.0,321795.8912606264,12.608202196848836,True,False,False,False,False
253,149000,73.0,3.0,282819.73388574616,11.91170829631447,False,False,True,False,False
254,64000,572.0,4.686456400742115,278772.11483812716,11.06665398721974,False,False,False,False,True
255,219000,36.0,3.0,311858.91911252093,12.296831574998258,False,False,True,False,False
256,185000,148.0,5.0,284534.0196000319,12.128116509451258,False,False,True,False,False
257,137800,119.0,6.0,282286.40055241284,11.833565894429414,False,False,True,False,False
258,420000,97.0,4.0,295724.4957905081,12.948012371209098,False,False,True,False,False
259,192500,100.0,3.0,278335.4092000291,12.167856627501678,False,False,True,False,False
260,778200,136.0,6.0,360608.98318859056,13.56474012454847,True,False,False,False,False
261,579000,144.0,4.0,303295.92436193663,13.269059483669357,True,False,False,False,False
262,103000,80.0,4.0,280629.25769527,11.542493975902508,False,False,True,False,False
263,1229000,184.0,10.0,350531.0613739422,14.021712202217492,False,False,True,False,False
264,157500,83.0,4.0,283224.4957905081,11.967187086434018,False,False,True,False,False
265,138000,57.0,3.0,283133.9338166946,11.835016210489899,True,False,False,False,False
266,262000,64.0,3.0,308748.45267829,12.476103599529843,True,False,False,False,False
267,399000,150.0,5.0,300235.16967694886,12.896719202134523,False,False,True,False,False
268,273800,126.0,6.0,275909.32224350737,12.520156844130765,False,False,True,False,False
269,275600,47.0,3.0,288848.30531431764,12.526709446562082,True,False,False,False,False
270,262000,92.0,4.0,288200.6862666986,12.476103599529843,False,False,True,False,False
271,584900,205.0,6.0,300290.0522815063,13.27919788112362,False,False,True,False,False
272,190000,45.0,2.0,328521.0121059021,12.154784614286667,True,False,False,False,False
273,210000,48.0,2.0,325882.0320818334,12.25486757159303,True,False,False,False,False
274,229000,89.0,4.0,288618.0178956813,12.34148164933907,False,False,True,False,False
275,57000,378.0,4.686456400742115,278438.7815047938,10.950824090522445,False,False,False,False,True
276,334000,221.0,6.0,293555.20052730315,12.718899265966332,False,False,True,False,False
277,334000,221.0,6.0,293555.20052730315,12.718899265966332,False,False,True,False,False
278,349000,98.0,6.0,295873.382345485,12.762830066509972,False,False,True,False,False
279,190000,145.0,6.0,284772.11483812716,12.154784614286667,False,False,True,False,False
280,43500,194.0,4.686456400742115,280296.1096182123,10.680539205318292,False,False,False,False,True
281,399000,43.0,2.0,310888.5764640268,12.896719202134523,True,False,False,False,False
282,234780,104.0,5.0,286904.4957905081,12.366408443730027,False,False,True,False,False
284,580000,117.0,4.0,298191.5641636668,13.270785106659046,False,False,True,False,False
285,325000,115.0,5.0,291200.6862666986,12.691583538230217,False,False,True,False,False
286,420000,96.0,6.0,295724.4957905081,12.948012371209098,True,False,False,False,False
287,560000,63.0,3.0,360608.98318859056,13.235693848424024,True,False,False,False,False
288,160000,34.0,2.0,315009.7459818486,11.982935344196433,True,False,False,False,False
289,220000,82.0,4.0,286052.80050437694,12.301387370778713,False,False,True,False,False
290,485000,100.0,5.0,298819.73388574616,13.091906231773164,False,False,True,False,False
291,205000,50.0,3.0,283873.382345485,12.230770136157428,False,False,True,False,False
292,220000,80.0,4.0,286200.6862666986,12.301387370778713,False,False,True,False,False
294,124000,86.0,4.0,272282.4732545759,11.728044909070785,True,False,False,False,False
296,202780,105.0,6.0,285380.6862666986,12.219881857947216,False,False,True,False,False
297,241280,105.0,6.0,287214.0196000319,12.393717508355474,False,False,True,False,False
298,199000,31.0,2.0,360608.98318859056,12.201065128819632,True,False,False,False,False
299,284000,160.0,6.0,289248.30531431764,12.556733038263905,False,False,True,False,False
300,170000,100.0,5.0,264104.5764640268,12.04355959836804,False,False,True,False,False
301,195000,23.0,1.0,329579.08612859534,12.180759965737863,True,False,False,False,False
302,66000,800.0,4.686456400742115,278867.3529333652,11.097425172408931,False,False,False,False,True
303,965000,118.0,5.0,337050.6004833612,13.779884416590017,True,False,False,False,False
304,210390,83.0,4.0,285743.06721907953,12.256722983265387,False,False,True,False,False
305,269000,207.0,8.0,288534.0196000319,12.502470376049185,False,False,True,False,False
306,269000,75.0,4.0,304325.4640500093,12.502470376049185,True,False,False,False,False
307,205000,192.0,6.0,285486.40055241284,12.230770136157428,False,False,True,False,False
308,185000,73.0,3.0,284534.0196000319,12.128116509451258,False,False,True,False,False
309,390000,104.0,4.0,304325.4640500093,12.873904582205107,True,False,False,False,False
